RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
236,0,1,99,587,1000,0,1,1,0,1,1,1,0,1
237,0,1,106,570,1000,0,1,1,0,1,1,1,0,1
238,0,1,192,922,1000,0,1,1,0,1,1,1,0,1
239,0,1,70,494,1000,0,1,1,0,1,1,1,0,1
240,0,1,94,594,1000,0,1,1,0,1,1,1,0,1
241,0,1,103,592,1000,0,1,1,0,1,1,1,0,1
242,0,1,134,636,1000,0,1,1,0,1,1,1,0,1
243,0,1,159,703,1000,0,1,1,0,1,1,1,0,1
244,0,1,85,525,1000,0,1,1,0,1,1,1,0,1
245,0,1,93,536,1000,0,1,1,0,1,1,1,0,1
246,0,1,82,532,1000,0,1,1,0,1,1,1,0,1
247,0,1,82,613,1000,0,1,1,0,1,1,1,0,1
248,0,1,120,654,1000,0,1,1,0,1,1,1,0,1
249,0,1,146,611,1000,0,1,1,0,1,1,1,0,1
250,0,1,86,585,1000,0,1,1,0,1,1,1,0,1
251,0,1,83,536,1000,0,1,1,0,1,1,1,0,1
252,0,1,80,544,1000,0,1,1,0,1,1,1,0,1
253,0,1,104,651,1000,0,1,1,0,1,1,1,0,1
254,0,1,70,493,1000,0,1,1,0,1,1,1,0,1
255,0,1,98,544,1000,0,1,1,0,1,1,1,0,1
256,0,1,106,644,1000,0,1,1,0,1,1,1,0,1
257,0,1,87,563,1000,0,1,1,0,1,1,1,0,1
258,0,1,129,711,1000,0,1,1,0,1,1,1,0,1
259,0,1,104,614,1000,0,1,1,0,1,1,1,0,1
260,0,1,80,481,1000,0,1,1,0,1,1,1,0,1
261,0,1,96,615,1000,0,1,1,0,1,1,1,0,1
262,0,1,96,612,1000,0,1,1,0,1,1,1,0,1
263,0,1,104,567,1000,0,1,1,0,1,1,1,0,1
264,0,1,62,513,1000,0,1,1,0,1,1,1,0,1
265,0,1,51,525,1000,0,1,1,0,1,1,1,0,1
266,0,1,61,480,1000,0,1,1,0,1,1,1,0,1
